Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,JAN 2022,FEB 2022,MAR 2022,APR 2022,MAY 2022,JUN 2022,JULY 2022,AUG 2022,SEP 2022,OCT 2022,NOV 2022,DEC 2022,JAN 2023,FEB 2023,MAR 2023,APR 2023,MAY 2023,JUN 2023,JULY 2023,AUG 2023,SEP 2023,OCT 2023,NOV 2023,ANNUAL TOTAL
"PONY.AI, INC.",AVT032,3LN6L5LU5JR626122,0,0,0,0,0,0,0,0,0,0,0,0,0.0,51.7,1081.0,786.9,472.9,911.4,97.8,128.8,258.8,691.7,796.7,621.8,5899.2
"PONY.AI, INC.",AVT032,3LN6L5LU5JR601477,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3
"PONY.AI, INC.",AVT032,3LN6L5MU9KR623692,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,365.3,1018.3,763.1,750.9,957.8,1113.7,1717.1,1165.0,1495.1,1553.7,10900.2
"PONY.AI, INC.",AVT032,3LN6L5MU3KR620979,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.6,108.7,1059.6,40.0,611.2,647.0,1001.1,1065.4,1096.8,1018.6,1102.3,7754.4
"PONY.AI, INC.",AVT032,KM8K23AG9KU030248,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PONY.AI, INC.",AVT032,KM8K23AG6KU030241,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PONY.AI, INC.",AVT032,KM8K23AG4LU072537,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PONY.AI, INC.",AVT032,KM8K23AG5LU072529,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PONY.AI, INC.",AVT032,KM8K23AG3LU072335,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,58.6,17.9,4.9,0.0,16.4,67.7,226.3,206.9,481.7,1080.4
"PONY.AI, INC.",AVT032,KM8K23AG0MU100285,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.0,0.0,21.7,0.0,129.4,0.0,0.0,0.0,0.0,0.0,0.0,157.1
"PONY.AI, INC.",AVT032,KM8K23AG3MU127142,0,0,0,0,0,0,0,0,0,0,0,0,712.4,1050.8,320.7,209.1,130.3,132.2,463.9,284.7,26.9,96.2,72.4,17.0,3516.8
"PONY.AI, INC.",AVT032,KM8K23AGXMU127168,0,0,0,0,0,0,0,0,0,0,0,0,382.8,666.5,114.0,201.3,69.6,247.0,568.8,424.0,59.1,59.2,126.6,21.5,2940.5
"PONY.AI, INC.",AVT032,KM8K23AGXMU127137,0,0,0,0,0,0,0,0,0,0,0,0,0.0,902.5,1172.8,1203.6,865.6,605.1,278.2,300.7,118.9,165.3,64.5,249.0,5926.2
"PONY.AI, INC.",AVT032,KM8K23AG2MU127178,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PONY.AI, INC.",AVT032,KM8K23AG2MU127147,0,0,0,0,0,0,0,0,0,0,0,0,267.9,654.4,198.1,193.0,60.2,16.7,0.0,0.0,456.7,226.8,111.3,18.7,2203.8
"PONY.AI, INC.",AVT032,KM8K23AG8MU127363,2,0,0,0,0,0,0,0,0,0,0,0,27.6,1112.2,1080.3,775.7,529.2,433.0,400.2,232.9,65.8,238.0,206.8,119.3,5221.2
"PONY.AI, INC.",AVT032,KM8K23AG9MU127338,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.8
"PONY.AI, INC.",AVT032,KM8K23AG6MU127152,0,0,0,0,0,0,0,0,0,0,0,0,202.9,1122.5,1033.6,967.6,186.9,176.0,764.7,300.4,257.4,97.6,152.4,368.4,5630.4
Vueron Technology USA INC,AVT078,KMHL34J27NA204045,5,0,0,0,0,0,700,20,40,1050,20,50,0,30,174,30,0,0,0,0,30,0,0,0,2144
