Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,DEC 2022,JAN 2023,FEB 2023,MAR 2023,APR 2023,MAY 2023,JUN 2023,JULY 2023,AUG 2023,SEP 2023,OCT 2023,NOV 2023,ANNUAL TOTAL,,,,,
CRUISE LLC,AVDT005,5G21A6P0XP4155911,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,745.98,241.75,132.99,0.00,"1,120.72",,,,,
CRUISE LLC,AVDT005,5G21A6P0XP4157366,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.07,103.68,0.00,306.75,,,,,
CRUISE LLC,AVDT005,5G21A6P0XP4157593,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.42,65.20,0.00,150.62,,,,,
CRUISE LLC,AVDT005,5G21A6P0XP4162857,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.08,692.60,0.00,767.68,,,,,
CRUISE LLC,AVDT005,5G21A6P0XP4163930,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.92,0.00,0.00,51.92,,,,,
CRUISE LLC,AVDT005,5G21A6P0XP4169176,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.26,0.00,73.26,,,,,
CRUISE LLC,AVDT005,5G21A6P0XP4171168,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.20,12.09,0.00,57.29,,,,,
CRUISE LLC,AVDT005,5G21A6P01P4121601,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P00P4145727,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P02P4114530,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P08P4112491,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P08P4107940,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P09P4161084,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P09P4161361,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P09P4180413,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
CRUISE LLC,AVDT005,5G21A6P09P4177219,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
