Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,JAN 2020,FEB 2020,MAR 2020,APR 2020,MAY 2020,JUN 2020,JULY 2020,AUG 2020,SEP 2020,OCT 2020,NOV 2020,DEC 2020,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JULY 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,ANNUAL TOTAL
INCEPTIO TECHNOLOGY,AVT072,3LN6L5MU5JR627236,0,0,0,0,0,8,12,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
INCEPTIO TECHNOLOGY,AVT072,3LN6L5LU8JR622405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UATC, LLC",AVT026,YV4BR0PU1J1211322,31,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"UATC, LLC",AVT026,YV4BR0PU3J1210768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UATC, LLC",AVT026,YV4BR0PU6J1210893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
