Section 1 Manufacturers information. enter manufacturer's NAME,Business,Date_of_Accident,Time_of_accident,Location,city,county,state,zip,Operator
,Cruise,2023-08-08,10:37 PM,901 Pennsylvania Ave,San Francisco,San Francisco,CA,94107,Cruise LLC
,Cruise,2023-08-14,4:45 PM,131 Albion St,San Francisco,San Francisco,CA,94110,Cruise LLC
,Cruise,2023-08-17,12:12 PM,2100 17th St,San Francisco,San Francisco,CA,94103,Cruise LLC
,Cruise,2023-08-18,12:19 PM,3401 26th St,San Francisco,San Francisco,CA,94110,Cruise LLC
,Cruise,2023-09-11,5:32 PM,215 Bush St,San Francisco,San Francisco,CA,94104,Cruise LLC
,Cruise,2023-09-25,9:37 PM,382 25th Ave,San Francisco,San Francisco,CA,94121,Cruise LLC
,Cruise,2023-09-27,8:42 PM,453 2nd St,San Francisco,San Francisco,CA,94107,Cruise LLC
,Cruise,2023-10-06,11:37 PM,308 Scott St,San Francisco,San Francisco,CA,94117,Cruise LLC
,Cruise,2023-10-27,1:29 PM,1113 26th St,Santa Monica,Los Angeles,CA,90403,Cruise LLC
,Cruise,2023-01-25,06:24 PM,1699 13th St,San Francisco,San Francisco,CA,94103,Cruise LLC
,Cruise,2022-01-26,03:56 PM,198 10 St,San Francisco,San Francisco,CA,94103,Cruise LLC
,Cruise,2022-01-29,1:10 PM,280 Potrero AV,San Francisco,San Francisco,CA,94103,Cruise LLC
,Cruise,2022-02-11,12:42 PM,1002 Masonic Ave,San Francisco,San Francisco,CA,94117,Cruise LLC
,Cruise,2022-02-19,08:36 PM,890 Geary Blvd,San Francisco,San Francisco,CA,94109,Cruise LLC
,Cruise,2023-03-06,01:06 PM,1199 Polk St,San Francisco,San Francisco,CA,94109,Cruise LLC
,Cruise,2022-03-15,12:26 PM,3001 16th St,San Francisco,San Francisco,CA,94103,Cruise LLC
,Cruise,2023-03-18,3:26 PM,499 25th Avenue,San Francisco,San Francisco,CA,94121,Cruise LLC
,Cruise,2023-03-21,5:58 PM,1660 Sacramento Street,San Francisco,San Francisco,CA,94109,Cruise LLC
,Cruise,2023-03-22,4:29 PM,1695 Polk Street,San Francisco,San Francisco,CA,94109,Cruise LLC
,Cruise,2023-03-22,3:20 PM,1258 Shafter Avenue,San Francisco,San Francisco,CA,94124,Cruise LLC
,Cruise,2023-03-22,11:30 PM,2654 Turk Boulevard,San Francisco,San Francisco,CA,94118,Cruise LLC
,Cruise,2022-03-24,1:24 PM,1090 Point Lobos Avenue,San Francisco,San Francisco,CA,94121,Cruise LLC
,Cruise,2022-03-26,02:07 PM,2200 Greenwich St,San Francisco,San Francisco,CA,94123,Cruise LLC
,Cruise,2022-03-29,9:44 PM,1145 Hayes St,San Francisco,San Francisco,CA,94117,Cruise LLC
,Cruise,2022-04-01,00:43 PM,1333 Bush St,San Francisco,San Francisco,CA,94109,Cruise LLC
,Cruise,2022-04-09,01:55 PM,1798 Sacramento St,San Francisco,San Francisco,CA,94109,Cruise LLC
,Cruise,2022-04-24,03:35 PM,1225 Steiner,San Francisco,San Francisco,CA,94115,Cruise LLC
,Cruise,2022-04-25,11:21 PM,1798 Sacramento St,San Francisco,San Francisco,CA,94109,Cruise LLC
Cruise LLC,Cruise,2021-05-11,03:59 PM,901 Castro St,San Francisco,San Francisco,CA,94114,
,Cruise,2022-05-13,04:37 PM,1699 Pine St,San Francisco,San Francisco,CA,94109,Cruise LLC
,Cruise,2022-05-25,8:42 PM,135 Drumm St,San Francisco,San Francisco,CA,94111,Cruise LLC
,Cruise,2022-06-02,01:54 PM,1534 Hayes St,San Francisco,San Francisco,CA,94117,Cruise LLC
,Cruise,2022-06-03,11:00 PM,698 Spruce Street,San Francisco,San Francisco,CA,94118,Cruise LLC
,Cruise,2023-06-24,11:08 PM,676 Tennessee St,San Francisco,San Francisco,CA,94107,Cruise LLC
,Cruise,2021-07-01,08:21 PM,400 Block of 6th St,San Francisco,San Francisco,CA,94103,Cruise LLC
Cruise LLC,Cruise,2020-07-25,4:53 PM,Taraval St. and 21st Ave.,San Francisco,San Francisco,CA,94116,
,Cruise,2022-08-16,03:53 PM,Martin Luther King Jr. Drive and Crossover Drive,San Francisco,San Francisco,CA,94122,Cruise LLC
,Cruise,2022-09-01,6:46 PM,766 Pine St,San Francisco,San Francisco,CA,94108,Cruise LLC
,Cruise,2022-09-04,05:37 PM,1597 Howard St,San Francisco,San Francisco,CA,94103,Cruise LLC
,Cruise,2021-11-13,4:49 PM,1100 Ocean Ave,San Francisco,San Francisco,CA,94112,Cruise LLC
,Cruise,2021-11-14,8:38 PM,385 4th Ave,San Francisco,San Francisco,CA,94118,Cruise LLC
,Cruise,2022-11-16,2:59 PM,850 Van Ness Avenue,San Francisco,San Francisco,CA,94109,Cruise LLC
,Cruise,2021-11-21,2:05 PM,1277 Cayuga St,San Francisco,San Francisco,CA,94112,Cruise LLC
,Cruise,2021-12-01,05:35 PM,1219 Hayes St,San Francisco,San Francisco,CA,94117,Cruise LLC
,Cruise,2021-12-01,05:22 PM,900 Laguna St,San Francisco,San Francisco,CA,94115,Cruise LLC
,Cruise,2021-12-11,4:47 PM,460 Larkin St,San Francisco,San Francisco,CA,94102,Cruise LLC
,Cruise,2021-12-26,6:41 PM,799 14th Ave,San Francisco,San Francisco,CA,94118,Cruise LLC
,Cruise,2022-12-28,11:59 PM,1398 Folsom St,San Francisco,San Francisco,CA,94103,Cruise LLC
